time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-09-23T13:08:57.810Z,44.4326667,-114.493,6.02,1.23,ml,7,128,0.329,0.15,mb,mb80174289,2016-09-23T15:59:57.830Z,"22km WSW of Challis, Idaho",earthquake,0.94,3.81,0.165,4,reviewed,mb,mb
2016-09-23T12:44:05.700Z,18.2308,-66.8427,34,2.3,Md,4,180,0.1176793,0.12,pr,pr16267002,2016-09-23T15:30:15.964Z,"7km SSE of Lares, Puerto Rico",earthquake,1.1,1.4,0,4,reviewed,pr,pr
2016-09-23T12:04:54.920Z,34.5355,141.7379,35,4.9,mb,,136,2.111,1.47,us,us10006rzc,2016-09-23T12:23:14.040Z,"147km ESE of Katsuura, Japan",earthquake,2.3,2,0.089,40,reviewed,us,us
2016-09-23T12:04:11.600Z,18.023,-67.1091,7,1.9,Md,3,183.6,0.01527136,0.09,pr,pr16267001,2016-09-23T15:29:00.709Z,"3km WSW of Palmarejo, Puerto Rico",earthquake,0.9,0.8,0,3,reviewed,pr,pr
2016-09-23T11:06:14.670Z,35.5831667,-120.9021667,6.45,1.33,md,53,46,0.04936,0.06,nc,nc72701201,2016-09-23T18:15:04.778Z,"15km N of Cayucos, California",earthquake,0.14,0.26,0.273,30,reviewed,nc,nc
2016-09-23T11:04:56.960Z,34.4461,141.4262,35,4.6,mb,,122,1.888,0.76,us,us10006rxy,2016-09-23T12:00:28.040Z,"128km SE of Katsuura, Japan",earthquake,6.8,1.9,0.066,67,reviewed,us,us
2016-09-23T10:59:54.000Z,60.267,-152.3504,84,1.1,ml,,,,0.44,ak,ak14019448,2016-09-23T11:12:04.294Z,"32km SE of Redoubt Volcano, Alaska",earthquake,1.6,1.8,,,automatic,ak,ak
2016-09-23T10:56:16.000Z,60.3222,-143.2778,1.5,1.3,ml,,,,0.55,ak,ak14019446,2016-09-23T16:39:31.023Z,"54km WNW of Cape Yakataga, Alaska",earthquake,0.1,0.1,,,reviewed,ak,ak
2016-09-23T10:51:10.000Z,60.0357,-152.1366,69.8,1.7,ml,,,,0.06,ak,ak14019034,2016-09-23T11:12:03.358Z,"33km NNW of Anchor Point, Alaska",earthquake,0.9,1.2,,,automatic,ak,ak
2016-09-23T10:50:53.880Z,30.5641,50.3809,33.08,4.6,mb,,77,7.61,1.48,us,us10006rxq,2016-09-23T11:39:29.040Z,"13km ESE of Behbahan, Iran",earthquake,8.2,4.5,0.086,40,reviewed,us,us
2016-09-23T10:39:03.000Z,65.3329,-148.9217,15.7,1.6,ml,,,,1.07,ak,ak14019031,2016-09-23T10:50:18.435Z,"68km NW of Ester, Alaska",earthquake,0.5,0.3,,,automatic,ak,ak
2016-09-23T10:28:24.960Z,34.6571,141.2634,35,5.2,mb,,70,1.798,1.25,us,us10006rxn,2016-09-23T14:23:06.000Z,"102km ESE of Katsuura, Japan",earthquake,7.1,1.9,0.037,235,reviewed,us,us
2016-09-23T10:27:02.470Z,34.6262,141.7766,12.14,4.6,mb,,125,2.059,0.83,us,us10006rxi,2016-09-23T10:51:57.040Z,"144km ESE of Ohara, Japan",earthquake,6.1,5.1,0.117,22,reviewed,us,us
2016-09-23T10:06:15.910Z,33.0415,-116.3843333,9.47,1.1,ml,30,78,0.1525,0.15,ci,ci37697928,2016-09-23T17:25:35.650Z,"21km ESE of Julian, CA",earthquake,0.26,0.79,0.098,18,reviewed,ci,ci
2016-09-23T09:45:01.000Z,59.0967,-154.6514,1.2,2.1,ml,,,,0.79,ak,ak14019025,2016-09-23T10:04:45.518Z,"74km SSE of Old Iliamna, Alaska",earthquake,0.2,0.3,,,automatic,ak,ak
2016-09-23T08:59:19.160Z,53.6174,-163.6561,21.38,4.7,mb,,161,1.355,0.74,us,us10006rxc,2016-09-23T16:39:31.898Z,"138km S of False Pass, Alaska",earthquake,9,6.5,0.061,82,reviewed,us,us
2016-09-23T08:28:18.390Z,36.4193,-96.9151,2.72,2.8,mb_lg,,79,0.017,0.17,us,us10006rxa,2016-09-23T12:44:46.844Z,"13km NW of Pawnee, Oklahoma",earthquake,0.6,2.2,0.058,78,reviewed,us,us
2016-09-23T08:28:13.550Z,36.4201,-96.9102,5.11,2.8,mb_lg,,39,0.015,0.18,us,us10006rx8,2016-09-23T15:07:37.229Z,"13km NW of Pawnee, Oklahoma",earthquake,0.8,2.7,0.059,76,reviewed,us,us
2016-09-23T08:23:21.150Z,36.4207,-96.9129,5.53,1.7,ml,,44,0.015,0.24,us,us10006rx7,2016-09-23T15:15:56.040Z,"13km NW of Pawnee, Oklahoma",earthquake,1,1.8,0.071,26,reviewed,us,us
2016-09-23T08:19:56.000Z,53.4033,-166.2385,52.3,2.3,ml,,,,0.25,ak,ak14018598,2016-09-23T16:46:56.456Z,"55km SSE of Unalaska, Alaska",earthquake,1.6,1.5,,,reviewed,ak,ak
2016-09-23T08:17:31.330Z,36.4124,-96.8694,6.44,1.4,ml,,66,0.034,0.11,us,us10006rx6,2016-09-23T15:26:31.219Z,"10km NW of Pawnee, Oklahoma",earthquake,0.8,1.3,0.066,30,reviewed,us,us
2016-09-23T07:54:54.530Z,16.9196,-99.2683,40.86,4.9,mb,,147,0.926,0.64,us,us10006rx0,2016-09-23T17:12:52.680Z,"5km WNW of Ayutla de los Libres, Mexico",earthquake,6.3,9.3,0.057,96,reviewed,us,us
2016-09-23T07:36:42.140Z,-56.3669,147.528,10,4.6,mb,,93,6.768,0.55,us,us10006rwv,2016-09-23T08:01:48.040Z,"West of Macquarie Island",earthquake,10.9,1.9,0.096,32,reviewed,us,us
2016-09-23T07:20:02.000Z,63.5027,-149.8555,119.9,1.9,ml,,,,0.71,ak,ak14018192,2016-09-23T07:30:32.408Z,"46km WNW of Cantwell, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-09-23T07:15:16.900Z,36.5673333,-121.1588333,3.4,1.4,md,22,80,0.02627,0.06,nc,nc72701146,2016-09-23T18:26:03.806Z,"21km NE of Soledad, California",earthquake,0.23,0.61,0.28,21,reviewed,nc,nc
2016-09-23T07:14:36.000Z,59.5945,-144.1357,16.1,2,ml,,,,0.55,ak,ak14018191,2016-09-23T16:46:55.498Z,"109km WSW of Cape Yakataga, Alaska",earthquake,0.8,0.3,,,reviewed,ak,ak
2016-09-23T07:11:31.850Z,36.5688333,-121.1603333,3.52,2.04,md,50,58,0.0247,0.07,nc,nc72701141,2016-09-23T18:26:04.949Z,"21km NE of Soledad, California",earthquake,0.13,0.35,0.201,49,reviewed,nc,nc
2016-09-23T06:50:47.370Z,47.7768333,-121.8571667,7.33,1.48,ml,13,76,0.06536,0.05,uw,uw61212411,2016-09-23T17:07:31.870Z,"10km SSW of Sultan, Washington",earthquake,0.21,0.5,0.182,21,reviewed,uw,uw
2016-09-23T06:46:03.780Z,34.5529,141.6982,26.36,4.7,mb,,136,2.078,0.88,us,us10006rwn,2016-09-23T08:18:27.040Z,"142km ESE of Ohara, Japan",earthquake,6.3,6.1,0.089,38,reviewed,us,us
2016-09-23T06:31:06.290Z,2.9116,92.3612,10,4.6,mb,,167,5.12,0.6,us,us10006rwj,2016-09-23T07:46:38.040Z,"Off the west coast of northern Sumatra",earthquake,5.7,1.9,0.111,24,reviewed,us,us
2016-09-23T06:30:15.280Z,-9.5697,124.9815,35.2,4.8,mb,,57,0.728,1,us,us10006rwi,2016-09-23T06:49:40.040Z,"39km E of Leof, Indonesia",earthquake,4.5,7.8,0.107,27,reviewed,us,us
2016-09-23T06:23:11.000Z,65.1326,-148.9707,10.4,1.8,ml,,,,0.67,ak,ak14017787,2016-09-23T06:35:52.653Z,"55km NW of Ester, Alaska",earthquake,1.1,0.3,,,automatic,ak,ak
2016-09-23T06:20:15.900Z,-37.8707,178.7376,10,4.3,mb,,130,0.46,1.1,us,us10006rwf,2016-09-23T07:32:29.040Z,"108km NE of Gisborne, New Zealand",earthquake,6.5,2,0.202,7,reviewed,us,us
2016-09-23T06:18:38.150Z,38.7621651,-122.7478333,-0.77,1.08,md,9,113,0.0164,0.32,nc,nc72701126,2016-09-23T06:20:13.979Z,"1km SSE of The Geysers, California",earthquake,1.08,2.11,0.17,4,automatic,nc,nc
2016-09-23T06:13:24.150Z,35.0228,141.3978,37.98,5.1,mb,,99,1.555,0.88,us,us10006rwa,2016-09-23T14:38:24.000Z,"94km SSE of Hasaki, Japan",earthquake,8.9,6.3,0.06,90,reviewed,us,us
2016-09-23T06:08:35.610Z,-23.1136,-70.7674,14.33,4.3,mb,,140,0.963,1.01,us,us10006rw1,2016-09-23T07:05:35.040Z,"70km NNW of Antofagasta, Chile",earthquake,3.4,7.1,0.238,5,reviewed,us,us
2016-09-23T06:08:14.900Z,45.934,-123.0433333,24.1,2.1,ml,30,43,0.1506,0.27,uw,uw61212386,2016-09-23T17:33:01.840Z,"14km NE of Vernonia, Oregon",earthquake,0.53,1.3,0.163,58,reviewed,uw,uw
2016-09-23T05:56:29.010Z,-37.666,178.6588,10,5,mb,,100,0.298,0.84,us,us10006rvv,2016-09-23T06:14:45.040Z,"123km NNE of Gisborne, New Zealand",earthquake,9.3,1.9,0.098,33,reviewed,us,us
